--- Trace ID: 86f685e2a5f70b88762108c89f43886b ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 36.93 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 15.38 ms | Start Offset: 1.18 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 14.12 ms | Start Offset: 2.26 ms
4.   Service: start-choice-service      | Operation: POST /firstChoice                        | Duration: 10.69 ms | Start Offset: 5.11 ms
5.   Service: first-choice-service      | Operation: POST /firstChoice                        | Duration: 2.64 ms | Start Offset: 12.95 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 10.86 ms | Start Offset: 17.32 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 9.94 ms | Start Offset: 18.08 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 5.20 ms | Start Offset: 18.48 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 8.72 ms | Start Offset: 18.96 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 2.08 ms | Start Offset: 20.22 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 6.47 ms | Start Offset: 20.33 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 3.92 ms | Start Offset: 28.99 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 3.12 ms | Start Offset: 29.53 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.43 ms | Start Offset: 31.28 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 2.40 ms | Start Offset: 33.64 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.05 ms | Start Offset: 33.90 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.35 ms | Start Offset: 34.44 ms


--- Trace ID: 74904601a5ec3aea39e6cccfd4dabe14 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 19.48 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 4.03 ms | Start Offset: 0.85 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 3.26 ms | Start Offset: 1.47 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 2.09 ms | Start Offset: 2.20 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 1.33 ms | Start Offset: 2.81 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 5.55 ms | Start Offset: 5.44 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 4.90 ms | Start Offset: 5.94 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 2.54 ms | Start Offset: 6.25 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 4.13 ms | Start Offset: 6.54 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 0.45 ms | Start Offset: 7.51 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 2.33 ms | Start Offset: 7.65 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 3.34 ms | Start Offset: 11.78 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 2.76 ms | Start Offset: 12.21 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.29 ms | Start Offset: 13.64 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 2.42 ms | Start Offset: 15.75 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 1.99 ms | Start Offset: 16.01 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.45 ms | Start Offset: 16.46 ms


--- Trace ID: 7c8ae4e7f8673a828f0b52672f14da3a ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 24.34 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 4.78 ms | Start Offset: 0.91 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 3.88 ms | Start Offset: 1.68 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 2.72 ms | Start Offset: 2.45 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 1.79 ms | Start Offset: 3.23 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 6.20 ms | Start Offset: 6.22 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 5.46 ms | Start Offset: 6.82 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 4.82 ms | Start Offset: 7.17 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 3.50 ms | Start Offset: 7.49 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 2.37 ms | Start Offset: 8.57 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 0.97 ms | Start Offset: 8.93 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 4.47 ms | Start Offset: 13.28 ms
