time,cdf
0.0,0.0
0.015,1.3851143895309587E-31
0.03,3.30779255039844E-30
0.045,3.962413785918324E-29
0.06,3.185420494952532E-28
0.075,1.9396173339090497E-27
0.09,9.57039650734746E-27
0.105,3.9966157782487315E-26
0.12,1.4562612251921467E-25
0.135,4.735530075501093E-25
0.15,1.3983296804220444E-24
0.16499999999999998,3.801062662936792E-24
0.18,9.617021251181273E-24
0.195,2.285234374514705E-23
0.21,5.1382884452130015E-23
0.22499999999999998,1.1000669828424851E-22
0.24,2.2543810544961753E-22
0.255,4.442198472629494E-22
0.27,8.449064789948659E-22
0.285,1.5563546646824118E-21
0.3,2.784564152487556E-21
0.315,4.8512685279243395E-21
0.32999999999999996,8.248400872710758E-21
0.345,1.3713681588493954E-20
0.36,2.23339211267354E-20
0.375,3.5684228277303265E-20
0.39,5.601319587806984E-20
0.40499999999999997,8.648633293032432E-20
0.42,1.3150255944741643E-19
0.435,1.971015138694316E-19
0.44999999999999996,2.914827800600076E-19
0.46499999999999997,4.256619607826906E-19
0.48,6.1429284758674505E-19
0.495,8.766898050271792E-19
0.51,1.2380899431912709E-18
0.525,1.7312007408923136E-18
0.54,2.398085548023041E-18
0.5549999999999999,3.292446885867001E-18
0.57,4.482375726017838E-18
0.585,6.053644010178071E-18
0.6,8.113627623487375E-18
0.615,1.0795957902824437E-17
0.63,1.4266011598976906E-17
0.645,1.872736206841165E-17
0.6599999999999999,2.4429328397733563E-17
0.6749999999999999,3.167577421323517E-17
0.69,4.083532415087127E-17
0.705,5.2353183410331195E-17
0.72,6.676476454245787E-17
0.735,8.47113456738624E-17
0.75,1.069580058078592E-16
0.765,1.344141057082386E-16
0.78,1.681566072230361E-16
0.7949999999999999,2.0945654979011294E-16
0.8099999999999999,2.5980903033532165E-16
0.825,3.209670618770565E-16
0.84,3.9497971693722225E-16
0.855,4.842349943765551E-16
0.87,5.915078825694843E-16
0.885,7.200141279572117E-16
0.8999999999999999,8.734702560133556E-16
0.9149999999999999,1.0561604315693866E-15
0.9299999999999999,1.2730107873211282E-15
0.945,1.5296718932157326E-15
0.96,1.8326100853424662E-15
0.975,2.1892084209609854E-15
0.99,2.6078780764367425E-15
1.005,3.0981810571528152E-15
1.02,3.6709651429674E-15
1.035,4.338512049521676E-15
1.05,5.114699844707552E-15
1.065,6.0151807209113E-15
1.08,7.0575752872879055E-15
1.095,8.261684612321624E-15
1.1099999999999999,9.649721315317984E-15
1.125,1.1246561076277747E-14
1.14,1.3080016006848185E-14
1.155,1.5181131400754176E-14
1.17,1.7584507460302252E-14
1.185,2.0328647676243795E-14
1.2,2.3456335621496743E-14
1.2149999999999999,2.70150420049741E-14
1.23,3.105736392006639E-14
1.2449999999999999,3.5641498313185556E-14
1.26,4.083175179121085E-14
1.275,4.6699088982690725E-14
1.29,5.33217217662558E-14
1.305,6.078574178089129E-14
1.3199999999999998,6.918579873650648E-14
1.335,7.862582714962304E-14
1.3499999999999999,8.92198242379868E-14
1.365,1.0109268181948113E-13
1.38,1.143810751748842E-13
1.395,1.2923441195076002E-13
1.41,1.4581584429809417E-13
1.425,1.643033475641741E-13
1.44,1.8489086897965304E-13
1.4549999999999998,2.0778954990972065E-13
1.47,2.3322902536780906E-13
1.4849999999999999,2.61458804622279E-13
1.5,2.9274973686103634E-13
1.515,3.273955660160051E-13
1.53,3.65714578988804E-13
1.545,4.0805135166082124E-13
1.56,4.547785972151268E-13
1.575,5.062991214442768E-13
1.5899999999999999,5.630478898670229E-13
1.605,6.254942116282121E-13
1.6199999999999999,6.941440453097125E-13
