time,cdf
0.0,0.0
0.001,1.14078013276273E-84
0.002,1.9089735791035238E-82
0.003,1.0076099148937742E-80
0.004,2.98872739958623E-79
0.005,6.050857543786862E-78
0.006,9.219024705983105E-77
0.007,1.1210880034326147E-75
0.008,1.1319082249065113E-74
0.009000000000000001,9.761614716828526E-74
0.01,7.346618472911454E-73
0.011,4.907044639675277E-72
0.012,2.948676895177506E-71
0.013000000000000001,1.6121271577014012E-70
0.014,8.095984293506427E-70
0.015,3.765297923140184E-69
0.016,1.6334790308825294E-68
0.017,6.652825061349084E-68
0.018000000000000002,2.5587127997781482E-67
0.019,9.343737898016843E-67
0.02,3.256352219094712E-66
0.021,1.0883922027766326E-65
0.022,3.5054078184090094E-65
0.023,1.0928783747606993E-64
0.024,3.312619664600749E-64
0.025,9.801403675749942E-64
0.026000000000000002,2.841055889526702E-63
0.027,8.091885262795371E-63
0.028,2.2698475404184755E-62
0.029,6.280430163580721E-62
0.03,1.7154457956984057E-61
0.031,4.626302375578236E-61
0.032,1.2314854248488894E-60
0.033,3.2337306554619356E-60
0.034,8.37034396668945E-60
0.035,2.134199560445233E-59
0.036000000000000004,5.356817596490775E-59
0.037,1.322965465285816E-58
0.038,3.213803288645711E-58
0.039,7.677974380949567E-58
0.04,1.803928557155414E-57
0.041,4.168482367576159E-57
0.042,9.475567634241241E-57
0.043000000000000003,2.119417245500432E-56
0.044,4.666071375308412E-56
0.045,1.0115028982665013E-55
0.046,2.1598948984318262E-55
0.047,4.544895912698882E-55
0.048,9.428028229512115E-55
0.049,1.9288753094526773E-54
0.05,3.893618892293655E-54
0.051000000000000004,7.757929183393754E-54
0.052000000000000005,1.526351905897404E-53
0.053,2.9665317904794317E-53
0.054,5.697611757449132E-53
0.055,1.0817950673849118E-52
0.056,2.0312285816251272E-52
0.057,3.7729593579706454E-52
0.058,6.93517422424398E-52
0.059000000000000004,1.2618901240908385E-51
0.06,2.2735595781331984E-51
0.061,4.057311485787371E-51
0.062,7.173633549975295E-51
0.063,1.2569722066535413E-50
0.064,2.183282984132342E-50
0.065,3.7601057042686305E-50
0.066,6.422429080233636E-50
0.067,1.0881965474688782E-49
0.068,1.829446824082516E-49
0.069,3.052309882094364E-49
0.07,5.055013053005461E-49
0.07100000000000001,8.311623168154582E-49
0.07200000000000001,1.3570666715667962E-48
0.073,2.2006304200611437E-48
0.074,3.5448635265799245E-48
0.075,5.673244713103237E-48
0.076,9.022222962691168E-48
0.077,1.4259803855180573E-47
0.078,2.24025266571988E-47
0.079,3.498864260050214E-47
0.08,5.433314004139961E-47
0.081,8.390136069686598E-47
0.082,1.2885359718180063E-46
0.083,1.9683501653467272E-46
0.084,2.991159212550322E-46
0.085,4.52230006468869E-46
0.08600000000000001,6.803173231274211E-46
0.08700000000000001,1.0184600774110757E-45
0.088,1.5174111963069992E-45
0.089,2.2502684851680684E-45
0.09,3.32185547746925E-45
0.091,4.88185269502748E-45
0.092,7.143105090762918E-45
0.093,1.0407046017387863E-44
0.094,1.5098868619311852E-44
0.095,2.181599899656853E-44
0.096,3.139465611981095E-44
0.097,4.500091791739097E-44
0.098,6.425487652267836E-44
0.099,9.139932036524335E-44
0.1,1.2952813541338335E-43
0.101,1.8289454074333522E-43
0.10200000000000001,2.573257085141981E-43
0.10300000000000001,3.607787046099116E-43
0.10400000000000001,5.0408358329663914E-43
0.105,7.019335882839449E-43
0.106,9.742006545851213E-43
0.107,1.3476779092673405E-42
0.108,1.858381069986112E-42
0.109,2.5545793429452628E-42
0.11,3.5007758902838845E-42
0.111,4.782921003083258E-42
0.112,6.515221315273886E-42
0.113,8.849010127646011E-42
0.114,1.1984272648647984E-41
0.115,1.618458247830037E-41
0.116,2.179641034685591E-41
0.117,2.9274023316442075E-41
0.11800000000000001,3.921151510138748E-41
0.11900000000000001,5.238391151547038E-41
0.12,6.979979850766848E-41
0.121,9.276854729249985E-41
0.122,1.2298599040482115E-40
0.123,1.6264336907872913E-40
0.124,2.1456556870275015E-40
0.125,2.823861368855974E-40
0.126,3.7076840046854755E-40
0.127,4.8568423935399825E-40
0.128,6.347648277034717E-40
0.129,8.277410270779475E-40
0.13,1.0769952440208272E-39
0.131,1.3982516056488964E-39
0.132,1.8114374519415335E-39
0.133,2.341756621141078E-39
0.134,3.021024088110551E-39
0.135,3.889322530489308E-39
0.136,4.997054732191257E-39
0.137,6.407481849831605E-39
0.138,8.199857013209363E-39
0.139,1.0473287155936971E-38
0.14,1.335148414610608E-38
0.14100000000000001,1.6988600119021911E-38
0.14200000000000002,2.1576382478077567E-38
0.14300000000000002,2.735293259111719E-38
0.14400000000000002,3.4613410257432356E-38
0.145,4.3723095305237753E-38
0.146,5.513330025551205E-38
0.147,6.94007262634695E-38
0.148,8.721097134227589E-38
0.149,1.0940703847984308E-37
0.15,1.3702385552525674E-37
0.151,1.7133001313155602E-37
0.152,2.1387815681873193E-37
0.153,2.6656574043875427E-37
0.154,3.31708168038285E-37
0.155,4.121267275094231E-37
0.156,5.112541619786219E-37
0.157,6.332612445856371E-37
0.158,7.832083318373313E-37
0.159,9.672265847374348E-37
0.16,1.1927343822919883E-36
0.161,1.468695428239818E-36
0.162,1.8059261913620135E-36
0.163,2.2174616482376523E-36
0.164,2.718989844406827E-36
0.165,3.3293675894964245E-36
0.166,4.0712316928252045E-36
0.167,4.971722572819766E-36
0.168,6.063339887110366E-36
0.169,7.384953088541385E-36
0.17,8.982993581831808E-36
0.171,1.091285951184533E-35
0.17200000000000001,1.3240569243464012E-35
0.17300000000000001,1.6044705392850272E-35
0.17400000000000002,1.9418697951763157E-35
0.17500000000000002,2.3473502736997548E-35
0.176,2.8340740239380147E-35
0.177,3.417637010367393E-35
0.178,4.1164988126338026E-35
0.179,4.952484602068877E-35
0.18,5.951370950410669E-35
0.181,7.143568777550833E-35
0.182,8.564918747348973E-35
0.183,1.025761670747444E-34
0.184,1.22712893789771E-34
0.185,1.4664243476757796E-34
0.186,1.7504914831560667E-34
0.187,2.087354794176557E-34
0.188,2.4864140769999007E-34
0.189,2.958669458370594E-34
0.19,3.516981429689444E-34
0.191,4.176371118803731E-34
0.192,4.954366714256938E-34
0.193,5.871402780489934E-34
0.194,6.95128013443112E-34
0.195,8.221695007551486E-34
0.196,9.714847407737689E-34
0.197,1.1468139938917788E-33
0.198,1.3524979851827798E-33
0.199,1.5935698807306827E-33
0.2,1.875860675705493E-33
0.201,2.206119851145372E-33
0.202,2.59215339982468E-33
0.203,3.042981595114944E-33
0.20400000000000001,3.569019183880211E-33
0.20500000000000002,4.18228102907042E-33
0.20600000000000002,4.89661661408552E-33
0.20700000000000002,5.727977253939685E-33
0.20800000000000002,6.694720343026517E-33
0.209,7.817955511697624E-33
0.21,9.121938170355343E-33
0.211,1.0634516597434422E-32
0.212,1.2387639484353496E-32
0.213,1.441793169490853E-32
0.214,1.6767346938197352E-32
0.215,1.948390710351484E-32
0.216,2.2622539174312544E-32
0.217,2.6246021939005105E-32
0.218,3.0426056163125954E-32
0.219,3.524447349547274E-32
0.22,4.079460116733397E-32
0.221,4.7182801527202637E-32
0.222,5.453020765390734E-32
0.223,6.29746787311396E-32
0.224,7.267300157037698E-32
0.225,8.380336766397412E-32
0.226,9.65681584650282E-32
0.227,1.1119707525759294E-31
0.228,1.279506540349749E-31
0.229,1.4712421028352315E-31
0.23,1.6905226351636492E-31
0.231,1.9411349686164695E-31
0.232,2.2273631303285804E-31
0.233,2.5540505464911213E-31
0.234,2.9266696419011633E-31
0.23500000000000001,3.3513996692850034E-31
0.23600000000000002,3.835213690515332E-31
0.23700000000000002,4.38597572941524E-31
0.23800000000000002,5.012549223125948E-31
0.23900000000000002,5.724918016915525E-31
0.24,6.534321276805552E-31
0.241,7.453403836560417E-31
0.242,8.496383651578817E-31
0.243,9.679238203307859E-31
0.244,1.1019911885331705E-30
0.245,1.2538546607749022E-30
0.246,1.4257738081449857E-30
0.247,1.6202820490170503E-30
0.248,1.840218252762443E-30
0.249,2.0887618071614317E-30
0.25,2.3694715089025127E-30
0.251,2.6863286717362344E-30
0.252,3.0437848852604317E-30
0.253,3.4468148992362616E-30
0.254,3.90097515406904E-30
0.255,4.412468527958335E-30
0.256,4.9882159255777796E-30
0.257,5.6359353923630985E-30
0.258,6.364229502973455E-30
0.259,7.18268184268401E-30
0.26,8.10196347683786E-30
0.261,9.133950386541213E-30
0.262,1.0291852939072852E-29
0.263,1.1590358559585406E-29
0.264,1.3045788877233385E-29
0.265,1.467627273455174E-29
0.266,1.6501936574457176E-29
0.267,1.8545113855438307E-29
0.268,2.0830575293180835E-29
0.269,2.3385781886944325E-29
0.27,2.624116286243667E-29
0.271,2.943042085076164E-29
0.272,3.2990866826356873E-29
0.273,3.69637875468915E-29
0.274,4.139484847612995E-29
0.275,4.6334535428166175E-29
0.276,5.183863844965332E-29
0.277,5.796878175727112E-29
0.278,6.479300387236281E-29
0.279,7.238639244523454E-29
0.28,8.08317786399581E-29
0.281,9.022049635871063E-29
0.28200000000000003,1.0065321202490359E-28
0.28300000000000003,1.1224083111895064E-28
0.28400000000000003,1.2510548817198502E-28
0.28500000000000003,1.3938162747383983E-28
0.28600000000000003,1.5521718234498112E-28
0.28700000000000003,1.7277486146087804E-28
0.28800000000000003,1.9223355140472983E-28
0.289,2.137898453639995E-28
0.29,2.3765970868149575E-28
0.291,2.640802928267081E-28
0.292,2.9331191027189987E-28
0.293,3.2564018374453183E-28
0.294,3.613783843876326E-28
0.295,4.008699744977819E-28
0.296,4.444913717317386E-28
0.297,4.926549529831212E-28
0.298,5.458123175359413E-28
0.299,6.044578306086063E-28
0.3,6.691324700170458E-28
0.301,7.404280004160965E-28
0.302,8.18991501431848E-28
0.303,9.055302779824745E-28
0.304,1.0008171832097063E-27
0.305,1.105696386716797E-27
0.306,1.2210896232411323E-27
0.307,1.3480029594910154E-27
0.308,1.487534119657279E-27
0.309,1.640880413083008E-27
0.31,1.809347310750795E-27
0.311,1.9943577206397145E-27
0.312,2.1974620156271163E-27
0.313,2.420348871478066E-27
0.314,2.6648569765928686E-27
0.315,2.9329876795871514E-27
0.316,3.226918645476158E-27
0.317,3.549018596243764E-27
0.318,3.901863216916001E-27
0.319,4.2882523139490726E-27
0.32,4.711228318804153E-27
0.321,5.174096236038208E-27
0.322,5.680445142115613E-27
0.323,6.234171348464306E-27
0.324,6.839503350089354E-27
0.325,7.501028689343901E-27
0.326,8.223722873272021E-27
0.327,9.012980492310996E-27
0.328,9.87464869810496E-27
0.329,1.0815063208771684E-26
0.33,1.1841087021216575E-26
0.331,1.296015202204016E-26
0.332,1.4180303701278485E-26
0.333,1.5510249186691913E-26
0.334,1.6959408830621307E-26
0.335,1.853797159660928E-26
0.336,2.025695450908617E-26
0.337,2.2128266446499076E-26
0.338,2.416477657637111E-26
0.339,2.6380387749975E-26
0.34,2.879011519465076E-26
0.341,3.141017086335442E-26
0.342,3.425805382385983E-26
0.343,3.735264709422082E-26
0.34400000000000003,4.0714321356705686E-26
0.34500000000000003,4.4365046009521186E-26
0.34600000000000003,4.832850804432855E-26
0.34700000000000003,5.263023926790246E-26
0.34800000000000003,5.729775241838804E-26
0.34900000000000003,6.236068676056195E-26
0.35000000000000003,6.785096378039858E-26
0.35100000000000003,7.38029536371876E-26
0.352,8.025365307154833E-26
0.353,8.724287551005487E-26
0.354,9.481345415194033E-26
0.355,1.030114588706164E-25
0.356,1.1188642781264625E-25
0.357,1.214916146294957E-25
0.358,1.3188425233298344E-25
0.359,1.43125834824021E-25
0.36,1.552824172061217E-25
0.361,1.6842493606043315E-25
0.362,1.8262955092787935E-25
0.363,1.9797800831656424E-25
0.364,2.145580296290728E-25
0.365,2.324637244849074E-25
0.366,2.517960309982186E-25
0.367,2.726631846604334E-25
0.368,2.951812175715994E-25
