time,cdf
0.0,0.0
0.0015,1.923923498836795E-75
0.003,1.2900759955267017E-73
0.0045000000000000005,4.1457149748532077E-72
0.006,8.579912999593552E-71
0.0075,1.295366272702956E-69
0.009000000000000001,1.530566470364132E-68
0.0105,1.4813806614075207E-67
0.012,1.2128442525664353E-66
0.0135,8.603653858222151E-66
0.015,5.387420844945479E-65
0.0165,3.022436251144375E-64
0.018000000000000002,1.5377780030004945E-63
0.0195,7.167872764013444E-63
0.021,3.0872164715518573E-62
0.0225,1.2376787020530582E-61
0.024,4.6479965783368756E-61
0.025500000000000002,1.6441513387705345E-60
0.027,5.504849991828114E-60
0.0285,1.752032847399617E-59
0.03,5.320967637645652E-59
0.0315,1.5472929195339015E-58
0.033,4.3213345330077064E-58
0.0345,1.1623174901380096E-57
0.036000000000000004,3.018397282450418E-57
0.0375,7.584994434628795E-57
0.039,1.8482263408248724E-56
0.0405,4.375134286941662E-56
0.042,1.0078817929207078E-55
0.043500000000000004,2.263045728383528E-55
0.045,4.959873358082493E-55
0.0465,1.0624771208607963E-54
0.048,2.227274543081917E-54
0.0495,4.574315624585587E-54
0.051000000000000004,9.213682489600243E-54
0.0525,1.8218749001854777E-53
0.054,3.5397735318087863E-53
0.0555,6.763478336418795E-53
0.057,1.2718725556596978E-52
0.0585,2.355669497564406E-52
0.06,4.300113904458631E-52
0.0615,7.74138865121923E-52
0.063,1.375282855983861E-51
0.0645,2.412371777982713E-51
0.066,4.1802807512140174E-51
0.0675,7.159651880981207E-51
0.069,1.2125710318618125E-50
0.07050000000000001,2.0316232081537382E-50
0.07200000000000001,3.3688436287123255E-50
0.0735,5.53084137856006E-50
0.075,8.993646665501565E-50
0.0765,1.448997446308305E-49
0.078,2.3138298589351837E-49
0.0795,3.663232682982238E-49
0.081,5.75171180294253E-49
0.0825,8.958863695434338E-49
0.084,1.384680158775569E-48
0.0855,2.1242152083782812E-48
0.08700000000000001,3.235239610043654E-48
0.0885,4.892993243196234E-48
0.09,7.350207512380763E-48
0.0915,1.0969164250172948E-47
0.093,1.626613524143499E-47
0.0945,2.397265411678323E-47
0.096,3.5119558480717757E-47
0.0975,5.115168531313448E-47
0.099,7.408363761862766E-47
0.1005,1.0671032985398652E-46
0.10200000000000001,1.5289027099473804E-46
0.10350000000000001,2.179250165640999E-46
0.105,3.090652381158496E-46
0.1065,4.361828228464176E-46
0.108,6.126598257575067E-46
0.1095,8.565595679117419E-46
0.111,1.1921634651009935E-45
0.1125,1.651980212546034E-45
0.114,2.2793628824157204E-45
0.1155,3.131905702502164E-45
0.117,4.2858374685920304E-45
0.11850000000000001,5.841684753848249E-45
0.12,7.931547802070538E-45
0.1215,1.0728418229736179E-44
0.123,1.4458074029158448E-44
0.1245,1.9414218204657866E-44
0.126,2.5977687889846127E-44
0.1275,3.464075720973679E-44
0.129,4.603779688964499E-44
0.1305,6.098384550926132E-44
0.132,8.052300184856236E-44
0.1335,1.0598897740887025E-43
0.135,1.3908066762586658E-43
0.1365,1.8195622688190054E-43
0.138,2.3734988662189436E-43
0.1395,3.0871666172215264E-43
0.14100000000000001,4.004111759657476E-43
0.14250000000000002,5.179081360847396E-43
0.14400000000000002,6.6807353397002316E-43
0.1455,8.594975034097974E-43
0.147,1.102901953624229E-42
0.1485,1.411638708008408E-42
0.15,1.8022969638131548E-42
0.1515,2.2954425392135494E-42
0.153,2.9165156835095966E-42
0.1545,3.696919304049295E-42
0.156,4.675335436752837E-42
