time,cdf
0.0,0.0
0.01,5.18909389460532E-34
0.02,1.24158996807225E-32
0.03,1.490292696153051E-31
0.04,1.2005683324652929E-30
0.05,7.32620690458455E-30
0.06,3.622999473439233E-29
0.07,1.516475454916573E-28
0.08,5.53877112224755E-28
0.09,1.805499839379918E-27
0.1,5.344584311383711E-27
0.11,1.456475149438328E-26
0.12,3.6944361902883195E-26
0.13,8.801600617309738E-26
0.14,1.9841963734012673E-25
0.15,4.259228284152184E-25
0.16,8.75172592367201E-25
0.17,1.7291263305436324E-24
0.18,3.2976651279845202E-24
0.19,6.090900510398772E-24
0.2,1.092723536162921E-23
0.21,1.9089430451799636E-23
0.22,3.254586973549473E-23
0.23,5.42590305872512E-23
0.24,8.860898054537239E-23
0.25,1.4196668196069448E-22
0.26,2.2346014329139493E-22
0.27,3.459861749281979E-22
0.28,5.275318639230468E-22
0.29,7.928830626984312E-22
0.3,1.175812389958097E-21
0.31,1.721856677187112E-21
0.32,2.491813682247465E-21
0.33,3.566110464875264E-21
0.34,5.050221320840738E-21
0.35000000000000003,7.081341856778056E-21
0.36,9.836557921926369E-21
0.37,1.3542783972888344E-20
0.38,1.8488785320459504E-20
0.39,2.5039642891720828E-20
0.4,3.365406794452047E-20
0.41000000000000003,4.4905027914112076E-20
0.42,5.950420358209816E-20
0.43,7.833086237489068E-20
0.44,1.0246580317128048E-19
0.45,1.3323110488450345E-19
0.46,1.7223649465072013E-19
0.47000000000000003,2.214332420793875E-19
0.48,2.8317658408659723E-19
0.49,3.602977907335515E-19
0.5,4.561870966305635E-19
0.51,5.7488884525184E-19
0.52,7.212103253549451E-19
0.53,9.008459200357047E-19
0.54,1.120518340205827E-18
0.55,1.3881388758948674E-18
0.56,1.7129887711948698E-18
0.5700000000000001,2.1059240123357954E-18
0.58,2.579606013759017E-18
0.59,3.148760894606689E-18
0.6,3.830470258233673E-18
0.61,4.6444966206476985E-18
0.62,5.613646880668933E-18
0.63,6.764177485552621E-18
0.64,8.12624522132216E-18
0.65,9.73440784760285E-18
0.66,1.1628179102819556E-17
0.67,1.3852642927718554E-17
0.68,1.645913209379126E-17
0.6900000000000001,1.9505976778814167E-17
0.7000000000000001,2.3059329004875507E-17
0.71,2.7194069245436793E-17
0.72,3.1994801917680766E-17
0.73,3.755694690512893E-17
0.74,4.39879347037787E-17
0.75,5.1408513253315896E-17
0.76,5.99541750038083E-17
0.77,6.97767132781863E-17
0.78,8.104591752226899E-17
0.79,9.395141758760602E-17
0.8,1.0870468776847206E-16
0.81,1.2554122191348252E-16
0.8200000000000001,1.4472289155498335E-16
0.8300000000000001,1.6654049964611108E-16
0.84,1.9131654316671097E-16
0.85,2.1940819855562956E-16
0.86,2.512105446487634E-16
0.87,2.871600385501179E-16
0.88,3.2773826063750403E-16
0.89,3.7347594570584927E-16
0.9,4.2495731807989337E-16
0.91,4.828247493847571E-16
0.92,5.477837585479711E-16
0.93,6.206083745205005E-16
0.9400000000000001,7.021468831475409E-16
0.9500000000000001,7.933279805928675E-16
0.96,8.95167356723709E-16
0.97,1.0087747328969451E-15
0.98,1.1353613796523404E-15
0.99,1.2762481409149029E-15
1.0,1.4328739924367918E-15
1.01,1.606805163369831E-15
1.02,1.799744851053085E-15
1.03,2.0135435603264706E-15
1.04,2.2502100999414585E-15
1.05,2.5119232699338806E-15
1.06,2.8010442751521885E-15
1.07,3.120129901497423E-15
1.08,3.4719464928291686E-15
1.09,3.859484767925188E-15
1.1,4.2859755183514995E-15
1.11,4.754906229604938E-15
1.12,5.270038669431768E-15
1.1300000000000001,5.835427488804405E-15
1.1400000000000001,6.4554398826535394E-15
1.1500000000000001,7.134776359105858E-15
1.16,7.878492667667834E-15
1.17,8.692022938524473E-15
1.18,9.581204086888453E-15
1.19,1.0552301538139988E-14
1.2,1.1612036331341758E-14
1.21,1.2767613660595782E-14
1.22,1.4026752915631194E-14
1.23,1.539771928497337E-14
1.24,1.688935698704592E-14
1.25,1.8511124196598117E-14
1.26,2.0273129735931497E-14
1.27,2.2186171602520615E-14
1.28,2.4261777406785123E-14
1.29,2.651224679597245E-14
1.3,2.895069594235407E-14
1.31,3.1591104176222197E-14
1.32,3.444836284649954E-14
1.33,3.7538326494140996E-14
1.34,4.0877866425913933E-14
1.35,4.448492677859384E-14
1.36,4.837858316610182E-14
1.37,5.2579104004644124E-14
1.3800000000000001,5.710801461348736E-14
1.3900000000000001,6.198816419161941E-14
1.4000000000000001,6.724379577320399E-14
1.41,7.290061926743622E-14
1.42,7.898588769114873E-14
1.43,8.552847670530105E-14
1.44,9.255896756931062E-14
1.45,1.0010973363005214E-13
1.46,1.0821503046525979E-13
1.47,1.1691108980402006E-13
1.48,1.2623621735003595E-13
1.49,1.3623089463637691E-13
1.5,1.4693788504350864E-13
1.51,1.5840234411551417E-13
1.52,1.7067193431257715E-13
1.53,1.837969443410041E-13
1.54,1.9783041320530161E-13
1.55,2.128282591301132E-13
1.56,2.2884941350314556E-13
1.57,2.4595595999358134E-13
1.58,2.6421327900388583E-13
1.59,2.836901976163623E-13
1.6,3.0445914519930486E-13
1.61,3.2659631484112524E-13
1.62,3.501818307844034E-13
1.6300000000000001,3.7529992203542425E-13
1.6400000000000001,4.0203910232841347E-13
1.6500000000000001,4.3049235662737774E-13
1.6600000000000001,4.60757334352188E-13
1.67,4.929365495193124E-13
1.68,5.271375879914168E-13
1.69,5.634733220339056E-13
1.7,6.020621323803517E-13
1.71,6.430281380127039E-13
1.72,6.865014338661169E-13
1.73,7.326183366722548E-13
1.74,7.815216391589588E-13
1.75,8.333608728282471E-13
1.76,8.882925795387317E-13
1.77,9.464805921226867E-13
1.78,1.0080963242721926E-12
1.79,1.073319069933004E-12
1.8,1.1423363124490469E-12
1.81,1.215344043704755E-12
1.82,1.2925470935167723E-12
1.83,1.3741594695309287E-12
1.84,1.4604047078847815E-12
1.85,1.5515162349004614E-12
1.86,1.6477377400770266E-12
1.87,1.749323560656017E-12
1.8800000000000001,1.8565390780384545E-12
1.8900000000000001,1.969661126336082E-12
1.9000000000000001,2.0889784133442486E-12
1.9100000000000001,2.214791954228466E-12
1.92,2.347415518221321E-12
1.93,2.487176088631131E-12
1.94,2.6344143364684488E-12
1.95,2.789485108001258E-12
1.96,2.952757926554514E-12
1.97,3.1246175088744418E-12
1.98,3.3054642963829286E-12
1.99,3.495715001652092E-12
2.0,3.695803170434135E-12
2.0100000000000002,3.906179759586404E-12
2.02,4.127313731236571E-12
2.0300000000000002,4.3596926635378515E-12
2.04,4.6038233783691E-12
2.05,4.860232586339735E-12
2.06,5.12946754946439E-12
2.07,5.412096761877393E-12
2.08,5.708710648962125E-12
2.09,6.019922285275555E-12
2.1,6.346368131653296E-12
2.11,6.688708791885734E-12
2.12,7.0476297893610035E-12
2.13,7.423842364075654E-12
2.14,7.818084290419264E-12
2.15,8.231120716144305E-12
2.16,8.663745022938049E-12
2.17,9.116779709018308E-12
2.18,9.59107729418041E-12
2.19,1.0087521247727856E-11
2.2,1.0607026939724614E-11
2.21,1.1150542616012292E-11
2.22,1.1719050397440793E-11
2.23,1.2313567303766459E-11
2.24,1.2935146302677054E-11
2.25,1.3584877384408446E-11
2.2600000000000002,1.4263888662423125E-11
2.27,1.4973347500626322E-11
2.2800000000000002,1.5714461667600654E-11
2.29,1.648848051834607E-11
2.3000000000000003,1.7296696204016902E-11
2.31,1.8140444910153697E-11
2.32,1.902110812391272E-11
2.33,1.9940113930801584E-11
2.34,2.0898938341435178E-11
2.35,2.1899106648831097E-11
2.36,2.2942194816769963E-11
2.37,2.4029830899750776E-11
2.38,2.5163696495077744E-11
2.39,2.6345528227619957E-11
